Id_cosecha;Superf;TT_est; Neto_KG; Toneladas_recibidas; Average of HUMEDAD; Average of PROTEINA;Max of VITASCOPIO; Average of PRIMERA+SEGUNDA; Average of CUARTA;Max of PUREZA_VARIETAL;Max of FALLING_NUMBER;Max of DON; Average of CUERPOS EXT+QUEBRADO+DAÑADO ;Count of Fertil;Cosecha;Fecha_siembra;Variedad;Departamento;Weath_ref; Precip.Acumulada_(mm); Heliofanía_Relativa_(%); Rad.Solar_(xHelio)cal/cma²; Humedad_Rel.
7922;148;488;522.720;523;11,1545;11,35;98;92,4364;0,2682;100;313;490;0,9591;1;2022;2/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7923;21;74;69.630;70;13;10,2667;99;78,5;4,5667;98;348;147;1,8;1;2022;27/5/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7924;26;86;132.200;98;11,85;11,75;-1;93,725;0,45;100;-1;-1;4,075;1;2022;5/6/2022;ARRAYAN;FLORIDA;Canelones;298,3;63,47877551;360,6836735;0,008163265
7925;27;81;85.670;86;17,1333;11,4;-1;91,3;1,1333;98;-1;-1;4,8667;1;2022;15/6/2022;ARRAYAN;LAVALLEJA;TreintayTres;497,7;50,30244898;329,497551;2,636734694
7926;85;281;521.800;522;10,8;10,6647;100;94,1118;0,3294;100;305;28;1,9176;1;2022;4/6/2022;DANIELLE;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7927;10;35;45.390;45;11,25;9,9;98;89;1,15;99;304;100;1,55;1;2022;7/6/2022;DANIELLE;RIO_NEGRO;Tacuarembo;722,6;57,64122449;376,4653061;0,163265306
7928;38;114;148.110;148;12;10,02;100;91,72;0,64;100;396;24,1;2,48;1;2022;22/7/2022;DANIELLE;SAN_JOSE;Colonia;346,3;65,16163265;394,1195918;0,020408163
7929;96;336;614.320;614;13,2864;11,5045;98;81,1773;2,6545;91;358;309;3,9727;1;2022;22/5/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7930;75;248;295.760;296;11,0846;10,4;98;91,0538;0,6923;99;290;18;3,4615;1;2022;10/5/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7931;27;95;126.600;127;10,525;12;98;90,7;1,125;98;304;76,7;1,625;1;2022;10/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7932;75;225;233.010;233;11,95;11,7125;99;87,3875;1,3375;99;310;77,7;2,6;1;2022;16/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7933;24;72;184.660;185;13,3571;11,1429;-1;94,3143;1,0143;100;-1;-1;0,7429;1;2022;8/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7934;110;385;568.630;569;11,5048;11,0048;99;96,4333;0,3524;100;289;120;0,8762;1;2022;20/5/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7935;4;14;29.300;29;10;9,2;-1;94,6;0,4;99;-1;-1;1,4;1;2022;7/6/2022;ARRAYAN;RIO_NEGRO;Tacuarembo;722,6;57,64122449;376,4653061;0,163265306
7936;150;495;897.360;897;11,6724;12,2276;98;97,4931;0,2414;99;352;158;1,0034;1;2022;13/6/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7937;90;315;487.890;458;9,925;10,1625;96;94,9063;0,6188;100;304;32;1,4;1;2022;13/5/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7938;105;315;487.590;488;11,8625;12,2938;100;94,725;0,8938;100;321;0,1;1,4188;1;2022;23/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7939;123;431;753.100;721;14,276;10,036;99;93,864;0,4;100;352;146;2,064;1;2022;24/5/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7940;146;438;853.800;824;11,15;10,7571;100;96,6393;0,2643;100;311;194;1,2464;1;2022;10/6/2022;ARRAYAN;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7941;17;56;30.360;108;12,1;10,6;-1;95,5;0,6;100;-1;-1;0,7;1;2022;12/6/2022;NAHARA;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7942;68;204;32.610;229;16,8;12;98;96,5;0,2;96;311;134;1,9;1;2022;4/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
